metric,threshold,n,k,pivot_changed_rate,pivot_changed_ci_lo,pivot_changed_ci_hi,x_median,gamma,shock_type,lock_in,pivot_is_dominant_rate,HHI_roll_median,HHI_median,max_share_median
max_share,0.5625,42102,1620,0.03847798204360838,0.036682347192901144,0.040357832429111215,0.730181119306148,2.0,inflate_only,1,1.0,0.5580468197083641,0.5607089287588576,0.730181119306148
max_share,0.5625,57898,23433,0.40472900618328783,0.4007372611771226,0.40873339303433165,0.4412863085850953,2.0,reallocate_total_fixed,0,0.6211958962313033,0.3335782498010418,0.3019036295582473,0.4412863085850953
max_share,0.5625,42102,3239,0.0769322122464491,0.07442512030919657,0.07951650284078463,0.730181119306148,2.0,reallocate_total_fixed,1,1.0,0.5580468197083641,0.5607089287588576,0.730181119306148
max_share,0.58125,61170,10919,0.1785025339218571,0.17548807681550155,0.1815573698775177,0.4469454447738841,-0.5,inflate_only,0,0.6414582311590649,0.3346353484349064,0.30571002250309187,0.4469454447738841
max_share,0.58125,38830,676,0.01740921967550863,0.016155234787611022,0.018758684210297236,0.746502638355208,-0.5,inflate_only,1,1.0,0.5817180034336606,0.5815603976133832,0.746502638355208
max_share,0.58125,61170,12316,0.20134052640183095,0.1981814770987442,0.2045370861899148,0.4469454447738841,-0.5,reallocate_total_fixed,0,0.6414582311590649,0.3346353484349064,0.30571002250309187,0.4469454447738841
max_share,0.58125,38830,3640,0.0937419520988926,0.09088289150688099,0.09668139005520889,0.746502638355208,-0.5,reallocate_total_fixed,1,1.0,0.5817180034336606,0.5815603976133832,0.746502638355208
max_share,0.58125,61170,9302,0.1520680071930685,0.14924418076471196,0.15493553254595255,0.4469454447738841,0.5,inflate_only,0,0.6414582311590649,0.3346353484349064,0.30571002250309187,0.4469454447738841
max_share,0.58125,38830,0,0.0,0.0,9.892402712998653e-05,0.746502638355208,0.5,inflate_only,1,1.0,0.5817180034336606,0.5815603976133832,0.746502638355208
max_share,0.58125,61170,11543,0.18870361288213178,0.18562244774100206,0.1918238756561541,0.4469454447738841,0.5,reallocate_total_fixed,0,0.6414582311590649,0.3346353484349064,0.30571002250309187,0.4469454447738841
max_share,0.58125,38830,92,0.002369302086015967,0.0019324752520900785,0.0029045841852641703,0.746502638355208,0.5,reallocate_total_fixed,1,1.0,0.5817180034336606,0.5815603976133832,0.746502638355208
max_share,0.58125,61170,14410,0.235572993297368,0.23222673522392961,0.23895246238918882,0.4469454447738841,1.0,inflate_only,0,0.6414582311590649,0.3346353484349064,0.30571002250309187,0.4469454447738841
max_share,0.58125,38830,188,0.004841617306206541,0.004198478471875515,0.005582722263104051,0.746502638355208,1.0,inflate_only,1,1.0,0.5817180034336606,0.5815603976133832,0.746502638355208
max_share,0.58125,61170,17141,0.2802190616315187,0.27667388410591304,0.28379184280047115,0.4469454447738841,1.0,reallocate_total_fixed,0,0.6414582311590649,0.3346353484349064,0.30571002250309187,0.4469454447738841
max_share,0.58125,38830,714,0.018387844450167397,0.01709839285343249,0.019772582074785792,0.746502638355208,1.0,reallocate_total_fixed,1,1.0,0.5817180034336606,0.5815603976133832,0.746502638355208
max_share,0.58125,61170,20754,0.33928396272682687,0.3355420465227739,0.3430460642490695,0.4469454447738841,2.0,inflate_only,0,0.6414582311590649,0.3346353484349064,0.30571002250309187,0.4469454447738841
max_share,0.58125,38830,1094,0.028174092196755086,0.026574331770146453,0.029867202461172034,0.746502638355208,2.0,inflate_only,1,1.0,0.5817180034336606,0.5815603976133832,0.746502638355208
max_share,0.58125,61170,24200,0.39561876736962565,0.3917503576746202,0.39950028694731254,0.4469454447738841,2.0,reallocate_total_fixed,0,0.6414582311590649,0.3346353484349064,0.30571002250309187,0.4469454447738841
