lambda,variable,state,stat,value
0.005,kappa_LWMP,non_lockin,min,0.0
0.005,kappa_LWMP,non_lockin,p01,0.0
0.005,kappa_LWMP,non_lockin,p05,0.0
0.005,kappa_LWMP,non_lockin,p25,0.016207615421321608
0.005,kappa_LWMP,non_lockin,p50,0.08083416976198692
0.005,kappa_LWMP,non_lockin,p75,0.17417631086597288
0.005,kappa_LWMP,non_lockin,p95,0.42776115487298605
0.005,kappa_LWMP,non_lockin,p99,0.7380125577086114
0.005,kappa_LWMP,non_lockin,max,1.0000000000000004
0.005,kappa_LWMP,non_lockin,share_zero,0.1711249377480726
-0.005,delta_VWAP,lockin,n,583343.0
-0.005,delta_VWAP,lockin,mean,-106.97458040411293
-0.005,delta_VWAP,lockin,std,38.51140035288203
-0.005,delta_VWAP,lockin,min,-303.51601462510007
-0.005,delta_VWAP,lockin,p01,-216.53740710229874
-0.005,delta_VWAP,lockin,p05,-181.4348669390143
-0.005,delta_VWAP,lockin,p25,-130.8183908565079
-0.005,delta_VWAP,lockin,p50,-95.55779388247174
-0.005,delta_VWAP,lockin,p75,-77.89269408796827
-0.005,delta_VWAP,lockin,p95,-60.5140599125305
-0.005,delta_VWAP,lockin,p99,-52.066077127707956
-0.005,delta_VWAP,lockin,max,-39.47351021597751
-0.005,delta_VWAP,lockin,share_zero,0.0
-0.005,delta_VWAP,non_lockin,n,467857.0
-0.005,delta_VWAP,non_lockin,mean,-90.03105850578217
-0.005,delta_VWAP,non_lockin,std,24.66257081752725
-0.005,delta_VWAP,non_lockin,min,-169.78393475948542
-0.005,delta_VWAP,non_lockin,p01,-148.42670190293313
-0.005,delta_VWAP,non_lockin,p05,-134.85702146219992
-0.005,delta_VWAP,non_lockin,p25,-106.4000310705378
-0.005,delta_VWAP,non_lockin,p50,-87.87937002937542
-0.005,delta_VWAP,non_lockin,p75,-72.42765550678814
-0.005,delta_VWAP,non_lockin,p95,-51.16487533024703
-0.005,delta_VWAP,non_lockin,p99,-40.21818010255476
-0.005,delta_VWAP,non_lockin,max,-24.386338720716594
-0.005,delta_VWAP,non_lockin,share_zero,0.0
-0.005,delta_LWMP,lockin,n,583343.0
-0.005,delta_LWMP,lockin,mean,-164.64609947746723
-0.005,delta_LWMP,lockin,std,71.64298435044356
-0.005,delta_LWMP,lockin,min,-343.4218625000067
-0.005,delta_LWMP,lockin,p01,-316.95651800000184
-0.005,delta_LWMP,lockin,p05,-294.1643412500001
-0.005,delta_LWMP,lockin,p25,-220.6064562499996
-0.005,delta_LWMP,lockin,p50,-152.10471250000046
-0.005,delta_LWMP,lockin,p75,-99.55866874999992
-0.005,delta_LWMP,lockin,p95,-83.51696250000168
-0.005,delta_LWMP,lockin,p99,-81.86428924999964
-0.005,delta_LWMP,lockin,max,-77.59406250000029
-0.005,delta_LWMP,lockin,share_zero,0.0
-0.005,delta_LWMP,non_lockin,n,467857.0
-0.005,delta_LWMP,non_lockin,mean,-15.629750685751205
-0.005,delta_LWMP,non_lockin,std,24.441152449734105
-0.005,delta_LWMP,non_lockin,min,-319.0897624999998
-0.005,delta_LWMP,non_lockin,p01,-113.19660000000003
-0.005,delta_LWMP,non_lockin,p05,-62.79750000000058
-0.005,delta_LWMP,non_lockin,p25,-22.35000000000582
-0.005,delta_LWMP,non_lockin,p50,-5.1524999999965075
-0.005,delta_LWMP,non_lockin,p75,0.0
-0.005,delta_LWMP,non_lockin,p95,0.0
-0.005,delta_LWMP,non_lockin,p99,0.0
-0.005,delta_LWMP,non_lockin,max,0.0
-0.005,delta_LWMP,non_lockin,share_zero,0.3267515501531451
-0.005,kappa_VWAP,lockin,n,583343.0
-0.005,kappa_VWAP,lockin,mean,0.684946608848332
-0.005,kappa_VWAP,lockin,std,0.13138673062005676
-0.005,kappa_VWAP,lockin,min,0.500000315290612
-0.005,kappa_VWAP,lockin,p01,0.5022644112172894
-0.005,kappa_VWAP,lockin,p05,0.5115677865419214
-0.005,kappa_VWAP,lockin,p25,0.5649670488244151
-0.005,kappa_VWAP,lockin,p50,0.6637270212897889
-0.005,kappa_VWAP,lockin,p75,0.8000209003892462
-0.005,kappa_VWAP,lockin,p95,0.9056916168334787
-0.005,kappa_VWAP,lockin,p99,0.9463645985249342
-0.005,kappa_VWAP,lockin,max,0.9945077405352699
-0.005,kappa_VWAP,lockin,share_zero,0.0
-0.005,kappa_VWAP,non_lockin,n,467857.0
-0.005,kappa_VWAP,non_lockin,mean,0.4110928256453121
-0.005,kappa_VWAP,non_lockin,std,0.05630735668633902
-0.005,kappa_VWAP,non_lockin,min,0.18588630652735133
-0.005,kappa_VWAP,non_lockin,p01,0.2727698581738412
-0.005,kappa_VWAP,non_lockin,p05,0.3100052002125294
-0.005,kappa_VWAP,non_lockin,p25,0.37173712435619843
-0.005,kappa_VWAP,non_lockin,p50,0.4168213751883266
-0.005,kappa_VWAP,non_lockin,p75,0.4572289096625783
-0.005,kappa_VWAP,non_lockin,p95,0.4910157399279834
-0.005,kappa_VWAP,non_lockin,p99,0.4981586235105652
-0.005,kappa_VWAP,non_lockin,max,0.4999999851622249
-0.005,kappa_VWAP,non_lockin,share_zero,0.0
-0.005,kappa_LWMP,lockin,n,583343.0
-0.005,kappa_LWMP,lockin,mean,1.0000000000000002
-0.005,kappa_LWMP,lockin,std,9.969816158120978e-15
-0.005,kappa_LWMP,lockin,min,0.9999999999999789
-0.005,kappa_LWMP,lockin,p01,0.9999999999999819
-0.005,kappa_LWMP,lockin,p05,0.9999999999999851
-0.005,kappa_LWMP,lockin,p25,0.9999999999999928
-0.005,kappa_LWMP,lockin,p50,1.0000000000000009
-0.005,kappa_LWMP,lockin,p75,1.000000000000009
-0.005,kappa_LWMP,lockin,p95,1.0000000000000167
-0.005,kappa_LWMP,lockin,p99,1.00000000000002
-0.005,kappa_LWMP,lockin,max,1.0000000000000229
-0.005,kappa_LWMP,lockin,share_zero,0.0
-0.005,kappa_LWMP,non_lockin,n,467857.0
-0.005,kappa_LWMP,non_lockin,mean,0.08128157434345347
-0.005,kappa_LWMP,non_lockin,std,0.13329926417631152
-0.005,kappa_LWMP,non_lockin,min,-0.0
-0.005,kappa_LWMP,non_lockin,p01,-0.0
-0.005,kappa_LWMP,non_lockin,p05,-0.0
-0.005,kappa_LWMP,non_lockin,p25,0.0
-0.005,kappa_LWMP,non_lockin,p50,0.022856138191688226
-0.005,kappa_LWMP,non_lockin,p75,0.10796302007864304
-0.005,kappa_LWMP,non_lockin,p95,0.3436444083819468
-0.005,kappa_LWMP,non_lockin,p99,0.6242281730818506
-0.005,kappa_LWMP,non_lockin,max,1.0000000000000222
-0.005,kappa_LWMP,non_lockin,share_zero,0.32677506161070585
0.01,delta_VWAP,lockin,n,583343.0
0.01,delta_VWAP,lockin,mean,213.9491608082258
0.01,delta_VWAP,lockin,std,77.02280070576406
0.01,delta_VWAP,lockin,min,78.94702043195139
0.01,delta_VWAP,lockin,p01,104.13215425541071
0.01,delta_VWAP,lockin,p05,121.02811982506137
0.01,delta_VWAP,lockin,p25,155.7853881759347
0.01,delta_VWAP,lockin,p50,191.11558776495076
0.01,delta_VWAP,lockin,p75,261.63678171301945
0.01,delta_VWAP,lockin,p95,362.8697338780346
0.01,delta_VWAP,lockin,p99,433.07481420462216
0.01,delta_VWAP,lockin,max,607.032029250171
0.01,delta_VWAP,lockin,share_zero,0.0
0.01,delta_VWAP,non_lockin,n,467857.0
0.01,delta_VWAP,non_lockin,mean,180.0621170115644
0.01,delta_VWAP,non_lockin,std,49.325141635054514
0.01,delta_VWAP,non_lockin,min,48.77267744142955
0.01,delta_VWAP,non_lockin,p01,80.43636020510749
0.01,delta_VWAP,non_lockin,p05,102.32975066049985
0.01,delta_VWAP,non_lockin,p25,144.85531101357265
0.01,delta_VWAP,non_lockin,p50,175.7587400587363
0.01,delta_VWAP,non_lockin,p75,212.8000621410756
0.01,delta_VWAP,non_lockin,p95,269.71404292440127
0.01,delta_VWAP,non_lockin,p99,296.85340380585257
0.01,delta_VWAP,non_lockin,max,339.5678695189854
0.01,delta_VWAP,non_lockin,share_zero,0.0
0.01,delta_LWMP,lockin,n,583343.0
0.01,delta_LWMP,lockin,mean,329.29219895493446
0.01,delta_LWMP,lockin,std,143.28596870088708
0.01,delta_LWMP,lockin,min,155.18812500000058
0.01,delta_LWMP,lockin,p01,163.7285784999993
0.01,delta_LWMP,lockin,p05,167.03392499999973
0.01,delta_LWMP,lockin,p25,199.11733749999985
