check_id,check_name,status,severity,scenario,value,threshold,message
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_KuCoin,81199.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=2.0; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_KuCoin,5.085931675807842e-13,original run diagnostics status,lambda=-0.001; mean_abs=7.209564971699151e-14
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_KuCoin,5.085931675807842e-13,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=-0.001; mean_abs=7.209564971699151e-14
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_KuCoin,5.743183706385935e-13,original run diagnostics status,lambda=0.001; mean_abs=9.175485037266805e-14
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_KuCoin,5.743183706385935e-13,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=0.001; mean_abs=9.175485037266805e-14
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_KuCoin,4.829470157119431e-14,original run diagnostics status,lambda=-0.01; mean_abs=7.276914943340906e-15
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_KuCoin,4.829470157119431e-14,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=-0.01; mean_abs=7.276914943340906e-15
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_KuCoin,6.139533326177116e-14,original run diagnostics status,lambda=0.01; mean_abs=7.308570772483829e-15
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_KuCoin,6.139533326177116e-14,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=0.01; mean_abs=7.308570772483829e-15
ORIG_DIAG_001,Original diagnostics: weight_sums_close_to_one,PASS,INFO,EXCL_OKX,5.551115123125783e-16,original run diagnostics status,max abs(sum(normalized weights)-1) among valid minutes
DIAG_004,Weight sums close to one,PASS,INFO,EXCL_OKX,5.551115123125783e-16,<= 1e-10 PASS; <= 1e-8 WARNING,max abs(sum(normalized weights)-1) among valid minutes
ORIG_DIAG_001,Original diagnostics: valid_minutes,PASS,INFO,EXCL_OKX,1051200.0,original run diagnostics status,before_min_venues=1051200; min_venues filtered=0
