,delta_abs,g,N,LWMP_exceed_pct,LWMP_CI_lo_pct,LWMP_CI_hi_pct,VWAP_p95_PT,VWAP_p95_CI_lo,VWAP_p95_CI_hi,measure_raw,measure_pretty,scheme
151,0.1,2,19998,3.9253925392539255,3.6649633025245496,4.203520167517531,0.47720601335858,0.47102514828488423,0.4838652442405627,neff,N_eff = 1/HHI (negated for concentration),decile
152,0.1,3,19998,5.1905190519051905,4.89157050063583,5.5066800284554525,0.5027349672623365,0.4979973722426318,0.5091572321382757,neff,N_eff = 1/HHI (negated for concentration),decile
153,0.1,4,19998,5.96059605960596,5.6408343131938175,6.297274425753502,0.5190458433012413,0.5122812150191931,0.5257941049881437,neff,N_eff = 1/HHI (negated for concentration),decile
154,0.1,5,19998,6.575657565756576,6.2404012885062805,6.927594202468912,0.5321496282259932,0.5261202762684142,0.5381560345438124,neff,N_eff = 1/HHI (negated for concentration),decile
155,0.1,6,19998,7.2607260726072615,6.9092217377315315,7.628647615258448,0.5493883531319183,0.5406401781483717,0.5565349365639796,neff,N_eff = 1/HHI (negated for concentration),decile
156,0.1,7,19998,8.17081708170817,7.799150175308063,8.558551607511776,0.5749201286372568,0.5658779925363926,0.5823029009758625,neff,N_eff = 1/HHI (negated for concentration),decile
157,0.1,8,19998,11.581158115811581,11.14500019419385,12.03207366084558,0.6979138774481862,0.6928219114597443,0.7059047995932173,neff,N_eff = 1/HHI (negated for concentration),decile
158,0.1,9,19998,14.186418641864188,13.709704739203628,14.6768894232059,0.8237506491514224,0.8199059676686068,0.8259595092192504,neff,N_eff = 1/HHI (negated for concentration),decile
159,0.1,10,19998,14.176417641764177,13.69984792392318,14.666748079916786,0.888435440357145,0.8853060328512213,0.891490368660273,neff,N_eff = 1/HHI (negated for concentration),decile
160,0.05,1,66662,3.8597701839128735,3.7161744242609602,4.008683578581683,0.47511444130032293,0.4721906610208974,0.4782351645260852,neff,N_eff = 1/HHI (negated for concentration),extreme_tercile
161,0.05,3,66662,12.896402748192374,12.644108638704832,13.152973025977849,0.8161279960864086,0.8130754075623735,0.8205631833099051,neff,N_eff = 1/HHI (negated for concentration),extreme_tercile
162,0.1,1,66662,4.045783204824337,3.898840194205841,4.19802241256578,0.47977572094847437,0.47685439308384986,0.48283516474878907,neff,N_eff = 1/HHI (negated for concentration),extreme_tercile
163,0.1,3,66662,12.843899072935105,12.5920498664326,13.100030498753998,0.8198432359162068,0.8163880468172026,0.8233772408954602,neff,N_eff = 1/HHI (negated for concentration),extreme_tercile
